frame, x, y, yaw, junction_id, road_id, lane_id
1, 45.870380, 268.955780, -89.791718, -1, 7, -1
2, 45.870380, 268.955780, -89.791718, -1, 7, -1
3, 45.870380, 268.955780, -89.791718, -1, 7, -1
4, 45.870380, 268.955780, -89.791718, -1, 7, -1
5, 45.870380, 268.955780, -89.791718, -1, 7, -1
6, 45.870380, 268.955780, -89.791718, -1, 7, -1
7, 45.870380, 268.955780, -89.791718, -1, 7, -1
8, 45.870380, 268.955780, -89.791718, -1, 7, -1
9, 45.870380, 268.955048, -89.791817, -1, 7, -1
10, 45.870380, 268.939087, -89.792511, -1, 7, -1
11, 45.870388, 268.897583, -89.796783, -1, 7, -1
12, 45.870415, 268.830688, -89.803551, -1, 7, -1
13, 45.870449, 268.738464, -89.812737, -1, 7, -1
14, 45.870487, 268.621155, -89.824036, -1, 7, -1
15, 45.870537, 268.478821, -89.837234, -1, 7, -1
16, 45.870594, 268.311707, -89.852173, -1, 7, -1
17, 45.870655, 268.119995, -89.868431, -1, 7, -1
18, 45.870716, 267.903961, -89.885826, -1, 7, -1
19, 45.870785, 267.663849, -89.904175, -1, 7, -1
20, 45.870777, 267.399872, -89.922997, -1, 7, -1
21, 45.870609, 267.112305, -89.942184, -1, 7, -1
22, 45.870449, 266.801361, -89.961540, -1, 7, -1
23, 45.870205, 266.467285, -89.980553, -1, 7, -1
24, 45.869804, 266.110229, -89.999428, -1, 7, -1
25, 45.869389, 265.730560, -90.017937, -1, 7, -1
26, 45.868755, 265.328674, -90.035889, -1, 7, -1
27, 45.868172, 264.905060, -90.048393, -1, 7, -1
28, 45.867737, 264.460327, -90.053337, -1, 7, -1
29, 45.867283, 263.995026, -90.057495, -1, 7, -1
30, 45.866673, 263.509735, -90.061218, -1, 7, -1
31, 45.865974, 263.004974, -90.064690, -1, 7, -1
32, 45.865284, 262.481384, -90.067810, -1, 7, -1
33, 45.864590, 261.939545, -90.070557, -1, 7, -1
34, 45.863895, 261.379883, -90.072899, -1, 7, -1
35, 45.863194, 260.803040, -90.075256, -1, 7, -1
36, 45.862263, 260.209442, -90.077599, -1, 7, -1
37, 45.861542, 259.599609, -90.074158, -1, 7, -1
38, 45.860825, 258.974030, -90.068184, -1, 7, -1
39, 45.860149, 258.333282, -90.062286, -1, 7, -1
40, 45.859657, 257.678253, -90.057030, -1, 7, -1
41, 45.859169, 257.011261, -90.052643, -1, 7, -1
42, 45.858681, 256.335297, -90.049042, -1, 7, -1
43, 45.858204, 255.653458, -90.046051, -1, 7, -1
44, 45.857723, 254.968582, -90.043297, -1, 7, -1
45, 45.857246, 254.282120, -90.039238, -1, 7, -1
46, 45.856853, 253.591339, -90.035027, -1, 7, -1
47, 45.856602, 252.893066, -90.031181, -1, 7, -1
48, 45.856358, 252.185516, -90.028046, -1, 7, -1
49, 45.856106, 251.467773, -90.024979, -1, 7, -1
50, 45.855862, 250.739288, -90.021729, -1, 7, -1
51, 45.855614, 249.999802, -90.018669, -1, 7, -1
52, 45.855370, 249.249435, -90.016052, -1, 7, -1
53, 45.855125, 248.494583, -90.013733, -1, 7, -1
54, 45.854939, 247.746140, -90.011810, 76, 93, -1
55, 45.854931, 247.010818, -90.010002, 76, 93, -1
56, 45.854927, 246.291382, -90.008545, 76, 93, -1
57, 45.854919, 245.587936, -90.007629, 76, 93, -1

